timestamp,event,symbol,score,price,qty,reason,open_pl,rotation_score,rotation_decision,notes
2026-05-01T04:55:19.541770,TEST_EVENT,TEST,50,,,manual test,,,,
2026-05-01T13:30:30.755583,LEARNING_SHADOW_SELL,NVDA,,,70.004285918,fast_cut_loss_-4.30%,-625.8383161069198,,,
2026-05-01T17:34:20.873702,LEARNING_SHADOW_BUY_DECISION,AMD,72.5,,,candidate selected,,,,
2026-05-05T13:31:29.258647,SHADOW_SELL_V2_SIGNAL,AAPL,61.52,,1.0,Research signal: no exit pressure.,7.76,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=2.881 | entry=269.32 | current=277.08
2026-05-05T13:31:29.258778,SHADOW_SELL_V2_SIGNAL,AMZN,78.42,,61.954933291,Research signal: position is working.,1135.041452,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.104 | entry=257.904563 | current=276.225
2026-05-05T13:31:29.258829,SHADOW_SELL_V2_SIGNAL,U,48.86,,342.242897727,Research signal: no exit pressure.,-27.379432,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=-0.284 | entry=28.16 | current=28.08
2026-05-05T13:31:29.258918,SHADOW_CAPITAL_EFFICIENCY,ORCL,68.0,,,Research signal: candidate is stronger than weakest current holding.,-27.379432,19.14,research_candidate_stronger,shadow_only=true | version=v2.2 | weakest=U | weakest_score=48.86 | best_candidate=ORCL
2026-05-05T13:31:29.258957,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=4.0
2026-05-05T13:31:29.258989,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T13:31:29.259017,SHADOW_SMALL_CAP_BUY_DECISION,RKLB,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=23.0 | news=4.0
