symbol,price,final_score,trend_score,momentum_score,volume_score,change_1d_pct,change_5d_pct,change_20d_pct,volume_ratio,avg_volume,label
GOOGL,384.8,92.0,90,95,90,9.96,13.55,29.39,2.43,29667660,🔥 Strong Watch
QCOM,179.58,92.0,90,95,90,15.12,34.06,41.09,2.53,24186210,🔥 Strong Watch
AMD,354.49,86.0,90,95,50,5.16,16.1,68.64,0.9,46588760,🔥 Strong Watch
INTC,94.48,86.0,90,95,50,-0.28,41.48,96.71,1.03,155556440,🔥 Strong Watch
MU,517.16,80.0,90,80,50,-0.25,7.36,40.59,0.97,37122110,🔥 Strong Watch
AMZN,265.06,77.75,90,65,75,0.77,3.91,25.88,1.93,52369750,✅ Watch
SPY,718.66,77.75,90,65,75,0.99,1.44,9.68,1.34,50223020,✅ Watch
QQQ,667.74,74.0,90,65,50,0.93,2.51,14.28,1.03,39222530,✅ Watch
TSLA,381.63,74.0,90,65,50,2.37,2.12,0.1,0.8,63906110,✅ Watch
ADBE,246.1,74.0,90,65,50,1.04,2.98,1.96,0.88,5794150,✅ Watch
AAPL,271.35,71.75,90,50,75,0.44,-0.76,6.15,1.94,46471000,✅ Watch
AVGO,417.43,68.0,90,50,50,2.95,-0.6,33.16,1.09,20022930,👀 Weak Watch
SMCI,27.4,65.0,70,65,50,4.1,2.43,21.72,0.74,28367030,👀 Weak Watch
PANW,179.32,65.0,70,65,50,-1.22,3.53,11.61,0.95,6078390,👀 Weak Watch
ASML,1438.99,65.0,70,65,50,3.22,1.72,6.06,0.87,1634020,👀 Weak Watch
TSM,396.06,65.0,70,65,50,0.57,3.5,15.98,0.88,14436380,👀 Weak Watch
ARM,210.32,62.75,70,65,35,4.28,2.79,35.63,0.69,11264160,👀 Weak Watch
MSFT,407.78,62.75,70,50,75,-3.93,-1.92,10.4,1.89,37372000,👀 Weak Watch
NVDA,199.57,62.75,70,50,75,-4.63,-0.04,13.55,1.46,153869820,👀 Weak Watch
COST,1014.53,59.0,70,50,50,1.59,0.01,1.8,1.23,1663160,Skip
UBER,74.61,59.0,70,50,50,0.19,-0.12,4.04,1.13,14251110,Skip
CRWD,445.75,59.0,70,50,50,-1.47,0.08,13.33,0.93,2637960,Skip
CRM,176.53,56.0,50,65,50,-2.59,1.86,-4.98,1.08,13369490,Skip
NOW,88.31,50.75,25,80,50,-0.65,4.16,-15.12,0.7,31561710,Skip
SHOP,121.13,50.0,50,50,50,-0.11,-2.5,2.2,1.05,6455060,Skip
NFLX,93.61,50.0,50,50,50,1.62,0.85,-2.03,0.84,48448910,Skip
META,611.91,46.0,50,25,90,-8.55,-7.17,5.64,3.16,16683300,Skip
COIN,187.77,40.0,50,25,50,3.32,-5.13,8.54,0.76,10200140,Skip
PLTR,139.11,38.75,25,50,50,0.83,-1.74,-5.04,0.83,39190770,Skip
ORCL,161.39,37.75,50,25,35,-1.49,-8.45,11.52,0.68,30688900,Skip
SNOW,136.47,28.75,25,25,50,-3.36,-6.78,-10.87,1.28,6422370,Skip
