threshold,take_profit_pct,stop_loss_pct,max_hold_minutes,trades,wins,losses,win_rate,avg_pnl_pct,total_pnl_pct,worst_trade_pct,quality_score,symbols_group
70.0,1.5,-2.0,60,780,480,300,61.54,0.2425,189.14,-5.08,34.5254,strong_backtest
70.0,2.5,-2.0,60,780,480,300,61.54,0.2381,185.75,-5.08,34.2446,strong_backtest
70.0,2.0,-2.0,60,780,480,300,61.54,0.2381,185.72,-5.08,34.2424,strong_backtest
72.5,1.5,-2.0,60,66,41,25,62.12,0.3073,20.28,-2.08,33.8958,semis
75.0,1.5,-2.0,60,66,41,25,62.12,0.3073,20.28,-2.08,33.8958,semis
77.5,1.5,-2.0,60,66,41,25,62.12,0.3073,20.28,-2.08,33.8958,semis
70.0,1.5,-1.5,60,780,477,303,61.15,0.233,181.7,-5.08,33.7756,strong_backtest
70.0,2.5,-1.5,60,780,477,303,61.15,0.2286,178.31,-5.08,33.4948,strong_backtest
70.0,2.0,-1.5,60,780,477,303,61.15,0.2286,178.28,-5.08,33.4926,strong_backtest
77.5,2.0,-2.0,60,66,41,25,62.12,0.2907,19.18,-2.08,33.1197,semis
72.5,2.0,-2.0,60,66,41,25,62.12,0.2907,19.18,-2.08,33.1197,semis
75.0,2.0,-2.0,60,66,41,25,62.12,0.2907,19.18,-2.08,33.1197,semis
72.5,2.5,-2.0,60,66,41,25,62.12,0.2843,18.77,-2.08,32.8244,semis
77.5,2.5,-2.0,60,66,41,25,62.12,0.2843,18.77,-2.08,32.8244,semis
75.0,2.5,-2.0,60,66,41,25,62.12,0.2843,18.77,-2.08,32.8244,semis
70.0,2.5,-2.0,60,401,247,154,61.6,0.2132,85.5,-5.08,30.637,semis
70.0,1.5,-2.0,60,401,247,154,61.6,0.212,85.0,-5.08,30.569,semis
70.0,2.0,-2.0,60,401,247,154,61.6,0.2112,84.71,-5.08,30.5282,semis
70.0,1.5,-1.0,60,780,460,320,58.97,0.1879,146.56,-5.08,30.1067,strong_backtest
70.0,2.5,-1.0,60,780,460,320,58.97,0.1874,146.21,-5.08,30.0778,strong_backtest
70.0,2.0,-1.0,60,780,460,320,58.97,0.1874,146.18,-5.08,30.0755,strong_backtest
80.0,1.5,-2.0,60,21,13,8,61.9,0.254,5.33,-2.01,29.833,semis
70.0,2.5,-1.5,60,401,244,157,60.85,0.1965,78.78,-5.08,29.4533,semis
70.0,1.5,-1.5,60,401,244,157,60.85,0.1952,78.29,-5.08,29.3853,semis
70.0,2.0,-1.5,60,401,244,157,60.85,0.1945,77.99,-5.08,29.3445,semis
80.0,2.0,-2.0,60,21,13,8,61.9,0.2351,4.94,-2.01,28.9742,semis
80.0,2.5,-2.0,60,21,13,8,61.9,0.2336,4.91,-2.01,28.9054,semis
75.0,1.5,-1.5,60,66,39,27,59.09,0.2172,14.34,-2.08,28.6331,semis
77.5,1.5,-1.5,60,66,39,27,59.09,0.2172,14.34,-2.08,28.6331,semis
72.5,1.5,-1.5,60,66,39,27,59.09,0.2172,14.34,-2.08,28.6331,semis
77.5,1.5,-2.0,60,109,67,42,61.47,0.1739,18.96,-2.42,28.2362,strong_backtest
72.5,1.5,-2.0,60,109,67,42,61.47,0.1739,18.96,-2.42,28.2362,strong_backtest
75.0,1.5,-2.0,60,109,67,42,61.47,0.1739,18.96,-2.42,28.2362,strong_backtest
75.0,1.5,-2.0,60,145,89,56,61.38,0.1464,21.22,-2.47,28.0135,all
72.5,1.5,-2.0,60,145,89,56,61.38,0.1464,21.22,-2.47,28.0135,all
77.5,1.5,-2.0,60,145,89,56,61.38,0.1464,21.22,-2.47,28.0135,all
77.5,2.0,-1.5,60,66,39,27,59.09,0.2006,13.24,-2.08,27.857,semis
72.5,2.0,-1.5,60,66,39,27,59.09,0.2006,13.24,-2.08,27.857,semis
75.0,2.0,-1.5,60,66,39,27,59.09,0.2006,13.24,-2.08,27.857,semis
72.5,2.0,-2.0,60,109,67,42,61.47,0.1639,17.86,-2.42,27.7554,strong_backtest
77.5,2.0,-2.0,60,109,67,42,61.47,0.1639,17.86,-2.42,27.7554,strong_backtest
75.0,2.0,-2.0,60,109,67,42,61.47,0.1639,17.86,-2.42,27.7554,strong_backtest
72.5,2.0,-2.0,60,145,89,56,61.38,0.1388,20.13,-2.47,27.6453,all
75.0,2.0,-2.0,60,145,89,56,61.38,0.1388,20.13,-2.47,27.6453,all
77.5,2.0,-2.0,60,145,89,56,61.38,0.1388,20.13,-2.47,27.6453,all
72.5,2.5,-2.0,60,109,67,42,61.47,0.16,17.44,-2.42,27.5725,strong_backtest
75.0,2.5,-2.0,60,109,67,42,61.47,0.16,17.44,-2.42,27.5725,strong_backtest
77.5,2.5,-2.0,60,109,67,42,61.47,0.16,17.44,-2.42,27.5725,strong_backtest
75.0,2.5,-1.5,60,66,39,27,59.09,0.1943,12.82,-2.08,27.5617,semis
77.5,2.5,-1.5,60,66,39,27,59.09,0.1943,12.82,-2.08,27.5617,semis
72.5,2.5,-1.5,60,66,39,27,59.09,0.1943,12.82,-2.08,27.5617,semis
75.0,2.5,-2.0,60,145,89,56,61.38,0.1359,19.71,-2.47,27.5052,all
72.5,2.5,-2.0,60,145,89,56,61.38,0.1359,19.71,-2.47,27.5052,all
77.5,2.5,-2.0,60,145,89,56,61.38,0.1359,19.71,-2.47,27.5052,all
70.0,2.5,-1.0,60,401,232,169,57.86,0.1461,58.6,-5.08,25.6362,semis
